ROWID,Country,State lgd code,State,YearCode,Year,Type of area,Gender,Highest level of education completed,Percentage distribution of persons,Number of estimated persons ,Number of sample persons,Number of estimated persons excluding,Number of estimated persons including,Number of sample persons excluding,Number of sample persons including
3529,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Diploma/Certificate Course,1,,,126658,126658,3025,3025
3530,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Graduate,20.5,,,126658,126658,3025,3025
3531,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Higher Secondary,14.5,,,126658,126658,3025,3025
3532,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Literate & Upto Primary,11.9,,,126658,126658,3025,3025
3533,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Middle,15.9,,,126658,126658,3025,3025
3534,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Not Literate,13.6,,,126658,126658,3025,3025
3535,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Post Graduate & Above,7.1,,,126658,126658,3025,3025
3536,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Secondary,15.5,,,126658,126658,3025,3025
3537,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Secondary & Above,58.5,,,126658,126658,3025,3025
3538,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Diploma/Certificate Course,0.5,,,53956,53956,1260,1260
3539,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Graduate,19.5,,,53956,53956,1260,1260
3540,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Higher Secondary,13.4,,,53956,53956,1260,1260
3541,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Literate & Upto Primary,11,,,53956,53956,1260,1260
3542,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Middle,13.4,,,53956,53956,1260,1260
3543,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Not Literate,20,,,53956,53956,1260,1260
3544,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Post Graduate & Above,8.8,,,53956,53956,1260,1260
3545,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Secondary,13.5,,,53956,53956,1260,1260
3546,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Secondary & Above,55.7,,,53956,53956,1260,1260
3547,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Male,Diploma/Certificate Course,1.5,,,67792,67792,1543,1543
3548,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Male,Graduate,22.5,,,67792,67792,1543,1543
3549,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Male,Higher Secondary,15.4,,,67792,67792,1543,1543
3550,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Male,Literate & Upto Primary,12.6,,,67792,67792,1543,1543
3551,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Male,Middle,17.4,,,67792,67792,1543,1543
3552,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Male,Not Literate,8,,,67792,67792,1543,1543
3553,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Male,Post Graduate & Above,6.2,,,67792,67792,1543,1543
3554,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Male,Secondary,16.4,,,67792,67792,1543,1543
3555,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Male,Secondary & Above,61.9,,,67792,67792,1543,1543
3556,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,Diploma/Certificate Course,1.1,,,121747,121747,2803,2803
3557,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,Graduate,21.2,,,121747,121747,2803,2803
3558,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,Higher Secondary,14.5,,,121747,121747,2803,2803
3559,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,Literate & Upto Primary,11.9,,,121747,121747,2803,2803
3560,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,Middle,15.6,,,121747,121747,2803,2803
3561,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,Not Literate,13.3,,,121747,121747,2803,2803
3562,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,Post Graduate & Above,7.3,,,121747,121747,2803,2803
3563,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,Secondary,15.1,,,121747,121747,2803,2803
3564,India,7,Delhi,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,Secondary & Above,59.2,,,121747,121747,2803,2803
3565,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Female,Diploma/Certificate Course,0,,,1776,1776,76,76
3566,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Female,Graduate,21.1,,,1776,1776,76,76
3567,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Female,Higher Secondary,8,,,1776,1776,76,76
3568,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Female,Literate & Upto Primary,15.1,,,1776,1776,76,76
3569,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Female,Middle,15.6,,,1776,1776,76,76
3570,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Female,Not Literate,17.6,,,1776,1776,76,76
3571,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Female,Post Graduate & Above,2.9,,,1776,1776,76,76
3572,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Female,Secondary,19.7,,,1776,1776,76,76
3573,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Female,Secondary & Above,51.8,,,1776,1776,76,76
3574,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Male,Diploma/Certificate Course,3.5,,,2010,2010,98,98
3575,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Male,Graduate,13.4,,,2010,2010,98,98
3576,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Male,Higher Secondary,8.5,,,2010,2010,98,98
3577,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Male,Literate & Upto Primary,8.5,,,2010,2010,98,98
3578,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Male,Middle,26.7,,,2010,2010,98,98
3579,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Male,Not Literate,2.1,,,2010,2010,98,98
3580,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Male,Post Graduate & Above,6,,,2010,2010,98,98
3581,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Male,Secondary,31.4,,,2010,2010,98,98
3582,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Male,Secondary & Above,62.8,,,2010,2010,98,98
3583,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,Diploma/Certificate Course,1.8,,,3787,3787,174,174
3584,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,Graduate,17,,,3787,3787,174,174
3585,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,Higher Secondary,8.3,,,3787,3787,174,174
3586,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,Literate & Upto Primary,11.6,,,3787,3787,174,174
3587,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,Middle,21.5,,,3787,3787,174,174
3588,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,Not Literate,9.4,,,3787,3787,174,174
3589,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,Post Graduate & Above,4.6,,,3787,3787,174,174
3590,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,Secondary,25.9,,,3787,3787,174,174
3591,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,Secondary & Above,57.6,,,3787,3787,174,174
3592,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,Diploma/Certificate Course,0.8,,,54151,54151,1391,1391
3593,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,Graduate,17.6,,,54151,54151,1391,1391
3594,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,Higher Secondary,14.4,,,54151,54151,1391,1391
3595,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,Literate & Upto Primary,8.1,,,54151,54151,1391,1391
3596,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,Middle,14,,,54151,54151,1391,1391
3597,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,Not Literate,21.5,,,54151,54151,1391,1391
3598,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,Post Graduate & Above,10,,,54151,54151,1391,1391
3599,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,Secondary,13.6,,,54151,54151,1391,1391
3600,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,Secondary & Above,56.4,,,54151,54151,1391,1391
3601,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,Diploma/Certificate Course,1.5,,,64475,64475,1620,1620
3602,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,Graduate,23,,,64475,64475,1620,1620
3603,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,Higher Secondary,15.4,,,64475,64475,1620,1620
3604,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,Literate & Upto Primary,8.6,,,64475,64475,1620,1620
3605,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,Middle,16.7,,,64475,64475,1620,1620
3606,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,Not Literate,8.8,,,64475,64475,1620,1620
3607,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,Post Graduate & Above,8.5,,,64475,64475,1620,1620
3608,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,Secondary,17.4,,,64475,64475,1620,1620
3609,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,Secondary & Above,65.9,,,64475,64475,1620,1620
3610,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,Diploma/Certificate Course,1.2,,,118626,118626,3011,3011
3611,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,Graduate,20.5,,,118626,118626,3011,3011
3612,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,Higher Secondary,15,,,118626,118626,3011,3011
3613,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,Literate & Upto Primary,8.4,,,118626,118626,3011,3011
3614,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,Middle,15.5,,,118626,118626,3011,3011
3615,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,Not Literate,14.6,,,118626,118626,3011,3011
3616,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,Post Graduate & Above,9.2,,,118626,118626,3011,3011
3617,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,Secondary,15.7,,,118626,118626,3011,3011
3618,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,Secondary & Above,61.6,,,118626,118626,3011,3011
3619,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Female,Diploma/Certificate Course,0.8,,,52374,52374,1315,1315
3620,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Female,Graduate,17.5,,,52374,52374,1315,1315
3621,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Female,Higher Secondary,14.7,,,52374,52374,1315,1315
3622,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Female,Literate & Upto Primary,7.9,,,52374,52374,1315,1315
3623,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Female,Middle,14,,,52374,52374,1315,1315
3624,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Female,Not Literate,21.6,,,52374,52374,1315,1315
3625,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Female,Post Graduate & Above,10.2,,,52374,52374,1315,1315
3626,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Female,Secondary,13.4,,,52374,52374,1315,1315
3627,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Female,Secondary & Above,56.6,,,52374,52374,1315,1315
3628,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Male,Diploma/Certificate Course,1.5,,,62465,62465,1522,1522
3629,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Male,Graduate,23.3,,,62465,62465,1522,1522
3630,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Male,Higher Secondary,15.6,,,62465,62465,1522,1522
3631,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Male,Literate & Upto Primary,8.6,,,62465,62465,1522,1522
3632,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Male,Middle,16.4,,,62465,62465,1522,1522
3633,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Male,Not Literate,9,,,62465,62465,1522,1522
3634,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Male,Post Graduate & Above,8.6,,,62465,62465,1522,1522
3635,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Male,Secondary,17,,,62465,62465,1522,1522
3636,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Male,Secondary & Above,66,,,62465,62465,1522,1522
3637,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Persons,Diploma/Certificate Course,1.2,,,114840,114840,2837,2837
3638,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Persons,Graduate,20.6,,,114840,114840,2837,2837
3639,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Persons,Higher Secondary,15.2,,,114840,114840,2837,2837
3640,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Persons,Literate & Upto Primary,8.3,,,114840,114840,2837,2837
3641,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Persons,Middle,15.3,,,114840,114840,2837,2837
3642,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Persons,Not Literate,14.7,,,114840,114840,2837,2837
3643,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Persons,Post Graduate & Above,9.4,,,114840,114840,2837,2837
3644,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Persons,Secondary,15.4,,,114840,114840,2837,2837
3645,India,7,Delhi,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Persons,Secondary & Above,61.7,,,114840,114840,2837,2837
3646,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Female,Diploma/Certificate Course,0,1152,97,,,,
3647,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Female,Graduate,5.5,1152,97,,,,
3648,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Female,Higher Secondary,12.1,1152,97,,,,
3649,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Female,Literate & Upto Primary,16.2,1152,97,,,,
3650,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Female,Middle,36.5,1152,97,,,,
3651,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Female,Not Literate,11.8,1152,97,,,,
3652,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Female,Post Graduate & Above,0,1152,97,,,,
3653,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Female,Secondary,17.9,1152,97,,,,
3654,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Female,Secondary & Above,35.5,1152,97,,,,
3655,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Male,Diploma/Certificate Course,2.1,1479,108,,,,
3656,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Male,Graduate,12.1,1479,108,,,,
3657,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Male,Higher Secondary,12.8,1479,108,,,,
3658,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Male,Literate & Upto Primary,15.4,1479,108,,,,
3659,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Male,Middle,28.1,1479,108,,,,
3660,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Male,Not Literate,7.8,1479,108,,,,
3661,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Male,Post Graduate & Above,2.3,1479,108,,,,
3662,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Male,Secondary,19.6,1479,108,,,,
3663,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Male,Secondary & Above,48.8,1479,108,,,,
3664,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Persons,Diploma/Certificate Course,1.2,2631,205,,,,
3665,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Persons,Graduate,9.2,2631,205,,,,
3666,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Persons,Higher Secondary,12.5,2631,205,,,,
3667,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Persons,Literate & Upto Primary,15.8,2631,205,,,,
3668,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Persons,Middle,31.7,2631,205,,,,
9060,India,16,Tripura,2023,"Agriculture Year (Jul - Jun), 2023",Urban,Male,Not Literate,1.7,,936,,,,
3669,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Persons,Not Literate,9.5,2631,205,,,,
3670,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Persons,Post Graduate & Above,1.3,2631,205,,,,
3671,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Persons,Secondary,18.9,2631,205,,,,
3672,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural,Persons,Secondary & Above,43,2631,205,,,,
3673,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Female,Diploma/Certificate Course,0.4,44291,1408,,,,
3674,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Female,Graduate,14.3,44291,1408,,,,
3675,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Female,Higher Secondary,15.5,44291,1408,,,,
3676,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Female,Literate & Upto Primary,13.3,44291,1408,,,,
3677,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Female,Middle,12.9,44291,1408,,,,
3678,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Female,Not Literate,22.8,44291,1408,,,,
3679,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Female,Post Graduate & Above,6.2,44291,1408,,,,
3680,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Female,Secondary,14.7,44291,1408,,,,
3681,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Female,Secondary & Above,51,44291,1408,,,,
3682,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Male,Diploma/Certificate Course,0.8,52658,1659,,,,
3683,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Male,Graduate,16.3,52658,1659,,,,
3684,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Male,Higher Secondary,18.2,52658,1659,,,,
3685,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Male,Literate & Upto Primary,14,52658,1659,,,,
3686,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Male,Middle,18.4,52658,1659,,,,
3687,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Male,Not Literate,10,52658,1659,,,,
3688,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Male,Post Graduate & Above,4.3,52658,1659,,,,
3689,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Male,Secondary,18.1,52658,1659,,,,
3690,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Male,Secondary & Above,57.6,52658,1659,,,,
3691,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Persons,Diploma/Certificate Course,0.6,96949,3067,,,,
3692,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Persons,Graduate,15.4,96949,3067,,,,
3693,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Persons,Higher Secondary,17,96949,3067,,,,
3694,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Persons,Literate & Upto Primary,13.7,96949,3067,,,,
3695,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Persons,Middle,15.9,96949,3067,,,,
3696,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Persons,Not Literate,15.8,96949,3067,,,,
3697,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Persons,Post Graduate & Above,5.1,96949,3067,,,,
3698,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Persons,Secondary,16.5,96949,3067,,,,
3699,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Rural+Urban,Persons,Secondary & Above,54.6,96949,3067,,,,
3700,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Female,Diploma/Certificate Course,0.4,43140,1311,,,,
3701,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Female,Graduate,14.6,43140,1311,,,,
3702,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Female,Higher Secondary,15.6,43140,1311,,,,
3703,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Female,Literate & Upto Primary,13.2,43140,1311,,,,
3704,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Female,Middle,12.3,43140,1311,,,,
3705,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Female,Not Literate,23.1,43140,1311,,,,
3706,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Female,Post Graduate & Above,6.3,43140,1311,,,,
3707,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Female,Secondary,14.6,43140,1311,,,,
3708,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Female,Secondary & Above,51.5,43140,1311,,,,
3709,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Male,Diploma/Certificate Course,0.7,51179,1551,,,,
3710,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Male,Graduate,16.4,51179,1551,,,,
3711,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Male,Higher Secondary,18.3,51179,1551,,,,
3712,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Male,Literate & Upto Primary,13.9,51179,1551,,,,
3713,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Male,Middle,18.1,51179,1551,,,,
3714,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Male,Not Literate,10,51179,1551,,,,
3715,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Male,Post Graduate & Above,4.3,51179,1551,,,,
3716,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Male,Secondary,18.1,51179,1551,,,,
3717,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Male,Secondary & Above,57.9,51179,1551,,,,
3718,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Persons,Diploma/Certificate Course,0.6,94319,2862,,,,
3719,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Persons,Graduate,15.6,94319,2862,,,,
3720,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Persons,Higher Secondary,17.1,94319,2862,,,,
3721,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Persons,Literate & Upto Primary,13.6,94319,2862,,,,
3722,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Persons,Middle,15.5,94319,2862,,,,
3723,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Persons,Not Literate,16,94319,2862,,,,
3724,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Persons,Post Graduate & Above,5.2,94319,2862,,,,
3725,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Persons,Secondary,16.5,94319,2862,,,,
3726,India,7,Delhi,2020,"Agriculture Year (Jul - Jun), 2020",Urban,Persons,Secondary & Above,54.9,94319,2862,,,,
3727,India,7,Delhi,2021,"Agriculture Year (Jul - Jun), 2021",Rural,Female,Diploma/Certificate Course,0,1205,79,,,,
3728,India,7,Delhi,2021,"Agriculture Year (Jul - Jun), 2021",Rural,Female,Graduate,13.9,1205,79,,,,
3729,India,7,Delhi,2021,"Agriculture Year (Jul - Jun), 2021",Rural,Female,Higher Secondary,12.2,1205,79,,,,
3730,India,7,Delhi,2021,"Agriculture Year (Jul - Jun), 2021",Rural,Female,Literate & Upto Primary,13.5,1205,79,,,,
3731,India,7,Delhi,2021,"Agriculture Year (Jul - Jun), 2021",Rural,Female,Middle,32.5,1205,79,,,,
